,OPR_DT,OPR_HR,TAC_AREA_NAME,MW
2341,2010-01-20,1,PGE-TAC,4358
2342,2010-01-20,2,PGE-TAC,4143
2343,2010-01-20,7,PGE-TAC,5141
2344,2010-01-20,13,PGE-TAC,5911
2345,2010-01-20,11,PGE-TAC,6043
2346,2010-01-20,21,PGE-TAC,6085
2347,2010-01-20,6,PGE-TAC,4514
2348,2010-01-20,8,PGE-TAC,5627
2349,2010-01-20,16,PGE-TAC,5926
2350,2010-01-20,22,PGE-TAC,5648
2351,2010-01-20,24,PGE-TAC,4776
2448,2010-01-21,13,PGE-TAC,6079
2449,2010-01-21,9,PGE-TAC,5831
2450,2010-01-21,11,PGE-TAC,6030
2451,2010-01-21,7,PGE-TAC,5394
2452,2010-01-21,5,PGE-TAC,4484
2453,2010-01-21,6,PGE-TAC,4667
2454,2010-01-21,15,PGE-TAC,5993
2455,2010-01-21,18,PGE-TAC,6682
2456,2010-01-21,23,PGE-TAC,5384
2457,2010-01-21,20,PGE-TAC,6492
2458,2010-01-21,17,PGE-TAC,6239
2459,2010-01-21,14,PGE-TAC,6111
2460,2010-01-21,4,PGE-TAC,4345
2461,2010-01-21,2,PGE-TAC,4337
2462,2010-01-21,10,PGE-TAC,5942
2463,2010-01-21,19,PGE-TAC,6589
2464,2010-01-21,8,PGE-TAC,5688
2465,2010-01-21,16,PGE-TAC,6021
2466,2010-01-21,3,PGE-TAC,4309
2467,2010-01-21,12,PGE-TAC,6040
2468,2010-01-21,22,PGE-TAC,5818
2469,2010-01-21,21,PGE-TAC,6266
2470,2010-01-21,24,PGE-TAC,4918
2471,2010-01-21,1,PGE-TAC,4474
2568,2010-01-22,2,PGE-TAC,4357
2569,2010-01-22,13,PGE-TAC,5885
2570,2010-01-22,9,PGE-TAC,5952
2571,2010-01-22,22,PGE-TAC,5743
2572,2010-01-22,8,PGE-TAC,5790
2573,2010-01-22,15,PGE-TAC,5786
2574,2010-01-22,4,PGE-TAC,4264
2575,2010-01-22,3,PGE-TAC,4267
2576,2010-01-22,18,PGE-TAC,6424
2577,2010-01-22,16,PGE-TAC,5780
2578,2010-01-22,14,PGE-TAC,5870
2579,2010-01-22,10,PGE-TAC,6022
2580,2010-01-22,17,PGE-TAC,6000
2581,2010-01-22,12,PGE-TAC,5902
2582,2010-01-22,7,PGE-TAC,5413
2583,2010-01-22,1,PGE-TAC,4585
2584,2010-01-22,24,PGE-TAC,4898
2585,2010-01-22,21,PGE-TAC,5930
2586,2010-01-22,19,PGE-TAC,6320
2587,2010-01-22,11,PGE-TAC,5992
2588,2010-01-22,6,PGE-TAC,4767
2589,2010-01-22,5,PGE-TAC,4446
2590,2010-01-22,23,PGE-TAC,5364
2591,2010-01-22,20,PGE-TAC,6140
2688,2010-01-23,22,PGE-TAC,5355
2689,2010-01-23,4,PGE-TAC,4146
2690,2010-01-23,14,PGE-TAC,5040
2691,2010-01-23,20,PGE-TAC,5679
2692,2010-01-23,9,PGE-TAC,4959
2693,2010-01-23,11,PGE-TAC,5224
2694,2010-01-23,13,PGE-TAC,5167
2695,2010-01-23,15,PGE-TAC,4942
2696,2010-01-23,18,PGE-TAC,5791
2697,2010-01-23,2,PGE-TAC,4263
2698,2010-01-23,16,PGE-TAC,4967
2699,2010-01-23,21,PGE-TAC,5547
2700,2010-01-23,24,PGE-TAC,4752
2701,2010-01-23,10,PGE-TAC,5158
2702,2010-01-23,12,PGE-TAC,5227
2703,2010-01-23,8,PGE-TAC,4755
2704,2010-01-23,3,PGE-TAC,4194
2705,2010-01-23,5,PGE-TAC,4192
2706,2010-01-23,6,PGE-TAC,4212
2707,2010-01-23,7,PGE-TAC,4478
2708,2010-01-23,17,PGE-TAC,5148
2709,2010-01-23,19,PGE-TAC,5783
2710,2010-01-23,23,PGE-TAC,5106
2711,2010-01-23,1,PGE-TAC,4531
2808,2010-01-24,17,PGE-TAC,5557
2809,2010-01-24,4,PGE-TAC,4066
2810,2010-01-24,19,PGE-TAC,5955
2811,2010-01-24,14,PGE-TAC,5253
2812,2010-01-24,10,PGE-TAC,4991
2813,2010-01-24,2,PGE-TAC,4216
2814,2010-01-24,18,PGE-TAC,5999
2815,2010-01-24,3,PGE-TAC,4129
2816,2010-01-24,23,PGE-TAC,5016
2817,2010-01-24,15,PGE-TAC,5200
2818,2010-01-24,8,PGE-TAC,4493
2819,2010-01-24,24,PGE-TAC,4477
2820,2010-01-24,7,PGE-TAC,4335
2821,2010-01-24,6,PGE-TAC,4107
2822,2010-01-24,1,PGE-TAC,4435
2823,2010-01-24,22,PGE-TAC,5435
2824,2010-01-24,5,PGE-TAC,4103
2825,2010-01-24,16,PGE-TAC,5291
2826,2010-01-24,13,PGE-TAC,5291
2827,2010-01-24,9,PGE-TAC,4779
2828,2010-01-24,21,PGE-TAC,5711
2829,2010-01-24,20,PGE-TAC,5914
2830,2010-01-24,11,PGE-TAC,5131
2831,2010-01-24,12,PGE-TAC,5254
2928,2010-01-25,19,PGE-TAC,6472
2929,2010-01-25,13,PGE-TAC,5971
2930,2010-01-25,7,PGE-TAC,5278
2931,2010-01-25,10,PGE-TAC,5877
2932,2010-01-25,23,PGE-TAC,5239
2933,2010-01-25,3,PGE-TAC,4012
2934,2010-01-25,21,PGE-TAC,6044
2935,2010-01-25,11,PGE-TAC,5921
2936,2010-01-25,8,PGE-TAC,5604
2937,2010-01-25,6,PGE-TAC,4649
2938,2010-01-25,9,PGE-TAC,5724
2939,2010-01-25,1,PGE-TAC,4213
2940,2010-01-25,5,PGE-TAC,4324
2941,2010-01-25,4,PGE-TAC,4051
2942,2010-01-25,18,PGE-TAC,6549
2943,2010-01-25,15,PGE-TAC,5859
2944,2010-01-25,12,PGE-TAC,5999
2945,2010-01-25,2,PGE-TAC,4065
2946,2010-01-25,24,PGE-TAC,4756
2947,2010-01-25,22,PGE-TAC,5703
2948,2010-01-25,20,PGE-TAC,6290
2949,2010-01-25,16,PGE-TAC,5901
2950,2010-01-25,17,PGE-TAC,6076
2951,2010-01-25,14,PGE-TAC,5906
3048,2010-01-26,3,PGE-TAC,4161
3049,2010-01-26,2,PGE-TAC,4222
3050,2010-01-26,7,PGE-TAC,5386
3051,2010-01-26,20,PGE-TAC,6278
3052,2010-01-26,12,PGE-TAC,5859
3053,2010-01-26,13,PGE-TAC,5863
3054,2010-01-26,17,PGE-TAC,5968
3055,2010-01-26,10,PGE-TAC,5907
3056,2010-01-26,18,PGE-TAC,6465
3057,2010-01-26,21,PGE-TAC,6046
3058,2010-01-26,22,PGE-TAC,5734
